EMP_ID,F_NAME,L_NAME,SSN,B_DATE,GENDER,ADDRESS,SALARY,MANAGER_ID,DEP_ID
E1001,John,Thomas,123456,1/9/1976,M,5631 Rice- OakPark-IL,100000,,D01
E1002,Alice,James,123457,7/31/1972,F,980 Berry ln- Elgin-IL,80000,E1001,D01
E1003,Steve,Wells,123458,8/10/1980,M,291 Springs- Gary-IL,50000,E1001,D01
E1004,Santosh,Kumar,123459,7/20/1985,M,511 Aurora Av- Aurora-IL,60000,E1001,D01
E1005,Jerry,Jones,123410,1/4/1981,M,216 Oak Tree- Geneva-IL,70000,E1002,D02
E1006,Nancy,Allen,123411,2/6/1978,F,111 Green Pl- Elgin-IL,90000,E1002,D02
E1007,Misa,Thomas,123412,5/5/1975,F,100 Rose Pl- Gary-IL,65000,E1003,D03
E1008,Bharath,Gary,123413,5/6/1985,M,145 Berry Ln- Naperville-IL,65000,E1003,D03
E1009,Andrea,Jones,123414,7/9/1990,F,120 Fall Creek- Gary-IL,70000,E1004,D03
E1010,Liza,James,123415,3/30/1982,F,111 Britany Springs-Elgin-IL,70000,E1004,D04
