"Midwest                                           ","Chau Rowles                                       ","Abbott Laboratories                               "
"Midwest                                           ","Julie Starr                                       ","AbbVie                                            "
"Midwest                                           ","Cliff Meints                                      ","Aflac                                             "
"Midwest                                           ","Chau Rowles                                       ","Alcoa                                             "
"Midwest                                           ","Charles Bidwell                                   ","Altria Group                                      "
"Midwest                                           ","Delilah Krum                                      ","Amgen                                             "
"Midwest                                           ","Charles Bidwell                                   ","Arrow Electronics                                 "
"Midwest                                           ","Delilah Krum                                      ","AutoNation                                        "
"Midwest                                           ","Delilah Krum                                      ","Capital One Financial                             "
"Midwest                                           ","Cordell Rieder                                    ","Centene                                           "
"Midwest                                           ","Sherlene Wetherington                             ","Community Health Systems                          "
"Midwest                                           ","Delilah Krum                                      ","Cummins                                           "
"Midwest                                           ","Carletta Kosinski                                 ","Danaher                                           "
"Midwest                                           ","Carletta Kosinski                                 ","Dollar General                                    "
"Midwest                                           ","Cordell Rieder                                    ","Duke Energy                                       "
"Midwest                                           ","Cliff Meints                                      ","Eli Lilly                                         "
"Midwest                                           ","Kathleen Lalonde                                  ","EMC                                               "
"Midwest                                           ","Charles Bidwell                                   ","Emerson Electric                                  "
"Midwest                                           ","Chau Rowles                                       ","Halliburton                                       "
"Midwest                                           ","Delilah Krum                                      ","Hartford Financial Services Group                 "
"Midwest                                           ","Carletta Kosinski                                 ","International Paper                               "
"Midwest                                           ","Delilah Krum                                      ","Kimberly-Clark                                    "
"Midwest                                           ","Cordell Rieder                                    ","Kohl's                                            "
"Midwest                                           ","Kathleen Lalonde                                  ","Kraft Heinz                                       "
"Midwest                                           ","Julie Starr                                       ","Lear                                              "
"Midwest                                           ","Julie Starr                                       ","ManpowerGroup                                     "
"Midwest                                           ","Carletta Kosinski                                 ","McDonald's                                        "
"Midwest                                           ","Carletta Kosinski                                 ","Northrop Grumman                                  "
"Midwest                                           ","Cliff Meints                                      ","Paccar                                            "
"Midwest                                           ","Kathleen Lalonde                                  ","Penske Automotive Group                           "
"Midwest                                           ","Delilah Krum                                      ","Plains GP Holdings                                "
"Midwest                                           ","Sherlene Wetherington                             ","Progressive                                       "
"Midwest                                           ","Charles Bidwell                                   ","Qualcomm                                          "
"Midwest                                           ","Cliff Meints                                      ","Raytheon                                          "
"Midwest                                           ","Sherlene Wetherington                             ","Rite Aid                                          "
"Midwest                                           ","Cliff Meints                                      ","Sears Holdings                                    "
"Midwest                                           ","Delilah Krum                                      ","Southwest Airlines                                "
"Midwest                                           ","Chau Rowles                                       ","Staples                                           "
"Midwest                                           ","Charles Bidwell                                   ","Starbucks                                         "
"Midwest                                           ","Chau Rowles                                       ","Tech Data                                         "
"Midwest                                           ","Charles Bidwell                                   ","Tenet Healthcare                                  "
"Midwest                                           ","Sherlene Wetherington                             ","Time Warner Cable                                 "
"Midwest                                           ","Sherlene Wetherington                             ","U.S. Bancorp                                      "
"Midwest                                           ","Cliff Meints                                      ","Union Pacific                                     "
"Midwest                                           ","Kathleen Lalonde                                  ","US Foods Holding                                  "
"Midwest                                           ","Julie Starr                                       ","USAA                                              "
"Midwest                                           ","Charles Bidwell                                   ","Whirlpool                                         "
"Midwest                                           ","Cliff Meints                                      ","Xerox                                             "
