"Midwest                                           ","Delilah Krum                                      ","Amgen                                             "
"Midwest                                           ","Delilah Krum                                      ","AutoNation                                        "
"Midwest                                           ","Delilah Krum                                      ","Capital One Financial                             "
"Midwest                                           ","Delilah Krum                                      ","Cummins                                           "
"Midwest                                           ","Carletta Kosinski                                 ","Danaher                                           "
"Midwest                                           ","Carletta Kosinski                                 ","Dollar General                                    "
"Midwest                                           ","Delilah Krum                                      ","Hartford Financial Services Group                 "
"Midwest                                           ","Carletta Kosinski                                 ","International Paper                               "
"Midwest                                           ","Delilah Krum                                      ","Kimberly-Clark                                    "
"Midwest                                           ","Carletta Kosinski                                 ","McDonald's                                        "
"Midwest                                           ","Carletta Kosinski                                 ","Northrop Grumman                                  "
"Midwest                                           ","Delilah Krum                                      ","Plains GP Holdings                                "
"Midwest                                           ","Delilah Krum                                      ","Southwest Airlines                                "
