"Akilah Drinkard                                   ","organic                                           ",15
"Akilah Drinkard                                   ","facebook                                          ",9
"Akilah Drinkard                                   ","twitter                                           ",2
"Akilah Drinkard                                   ","adwords                                           ",5
"Akilah Drinkard                                   ","direct                                            ",53
"Akilah Drinkard                                   ","banner                                            ",9
"Arica Stoltzfus                                   ","adwords                                           ",29
"Arica Stoltzfus                                   ","twitter                                           ",11
"Arica Stoltzfus                                   ","organic                                           ",34
"Arica Stoltzfus                                   ","direct                                            ",140
"Arica Stoltzfus                                   ","banner                                            ",17
"Arica Stoltzfus                                   ","facebook                                          ",32
"Ayesha Monica                                     ","organic                                           ",22
"Ayesha Monica                                     ","twitter                                           ",9
"Ayesha Monica                                     ","adwords                                           ",9
"Ayesha Monica                                     ","direct                                            ",70
"Ayesha Monica                                     ","banner                                            ",7
"Ayesha Monica                                     ","facebook                                          ",15
"Babette Soukup                                    ","twitter                                           ",3
"Babette Soukup                                    ","direct                                            ",59
"Babette Soukup                                    ","facebook                                          ",8
"Babette Soukup                                    ","adwords                                           ",7
"Babette Soukup                                    ","banner                                            ",8
"Babette Soukup                                    ","organic                                           ",2
"Brandie Riva                                      ","banner                                            ",8
"Brandie Riva                                      ","facebook                                          ",25
"Brandie Riva                                      ","twitter                                           ",14
"Brandie Riva                                      ","direct                                            ",132
"Brandie Riva                                      ","adwords                                           ",24
"Brandie Riva                                      ","organic                                           ",27
"Calvin Ollison                                    ","organic                                           ",21
"Calvin Ollison                                    ","adwords                                           ",21
"Calvin Ollison                                    ","twitter                                           ",8
"Calvin Ollison                                    ","direct                                            ",139
"Calvin Ollison                                    ","facebook                                          ",22
"Calvin Ollison                                    ","banner                                            ",10
"Cara Clarke                                       ","direct                                            ",42
"Cara Clarke                                       ","twitter                                           ",1
"Cara Clarke                                       ","organic                                           ",8
"Cara Clarke                                       ","adwords                                           ",9
"Cara Clarke                                       ","banner                                            ",5
"Cara Clarke                                       ","facebook                                          ",3
"Carletta Kosinski                                 ","twitter                                           ",4
"Carletta Kosinski                                 ","facebook                                          ",13
"Carletta Kosinski                                 ","direct                                            ",54
"Carletta Kosinski                                 ","organic                                           ",14
"Carletta Kosinski                                 ","adwords                                           ",11
"Carletta Kosinski                                 ","banner                                            ",6
"Charles Bidwell                                   ","direct                                            ",159
"Charles Bidwell                                   ","twitter                                           ",15
"Charles Bidwell                                   ","organic                                           ",17
"Charles Bidwell                                   ","adwords                                           ",18
"Charles Bidwell                                   ","banner                                            ",16
"Charles Bidwell                                   ","facebook                                          ",27
"Chau Rowles                                       ","facebook                                          ",9
"Chau Rowles                                       ","direct                                            ",48
"Chau Rowles                                       ","organic                                           ",3
"Chau Rowles                                       ","twitter                                           ",5
"Chau Rowles                                       ","adwords                                           ",3
"Chau Rowles                                       ","banner                                            ",4
"Cliff Meints                                      ","organic                                           ",21
"Cliff Meints                                      ","adwords                                           ",21
"Cliff Meints                                      ","direct                                            ",122
"Cliff Meints                                      ","facebook                                          ",23
