"Vernita Plump                                     ",299,"$934,213.00",Top
"Julie Starr                                       ",35,"$89,098.00",Not
"Georgianna Chisholm                               ",256,"$886,244.00",Top
"Arica Stoltzfus                                   ",186,"$810,353.00",Top
"Dorotha Seawell                                   ",208,"$766,935.00",Top
"Nelle Meaux                                       ",241,"$749,076.00",Top
"Sibyl Lauria                                      ",192,"$721,694.00",middle
"Maren Musto                                       ",224,"$702,697.00",Top
"Brandie Riva                                      ",167,"$675,918.00",middle
"Charles Bidwell                                   ",205,"$675,637.00",Top
"Elwood Shutt                                      ",191,"$662,500.00",middle
"Maryanna Fiorentino                               ",204,"$655,955.00",Top
"Moon Torian                                       ",250,"$650,394.00",Top
"Hilma Busick                                      ",191,"$622,808.00",middle
"Dawna Agnew                                       ",116,"$604,519.00",middle
"Calvin Ollison                                    ",199,"$594,516.00",middle
"Cliff Meints                                      ",151,"$556,105.00",middle
"Gianna Dossey                                     ",184,"$550,973.00",middle
"Michel Averette                                   ",173,"$523,977.00",middle
"Delilah Krum                                      ",185,"$512,179.00",middle
"Elna Condello                                     ",168,"$508,913.00",middle
"Nakesha Renn                                      ",13,"$49,361.00",Not
"Micha Woodford                                    ",179,"$488,448.00",middle
"Necole Victory                                    ",136,"$475,282.00",Not
"Samuel Racine                                     ",134,"$470,409.00",Not
"Cordell Rieder                                    ",99,"$447,935.00",Not
"Julia Behrman                                     ",115,"$447,713.00",Not
"Derrick Boggess                                   ",102,"$383,934.00",Not
"Saran Ram                                         ",106,"$362,689.00",Not
"Renetta Carew                                     ",83,"$330,189.00",Not
"Shawanda Selke                                    ",100,"$327,829.00",Not
"Eugena Esser                                      ",116,"$311,801.00",Not
"Marquetta Laycock                                 ",90,"$307,941.00",Not
"Debroah Wardle                                    ",116,"$293,374.00",Not
"Ernestine Pickron                                 ",89,"$283,243.00",Not
"Retha Sears                                       ",64,"$283,203.00",Not
"Silvana Virden                                    ",65,"$262,171.00",Not
"Lavera Oles                                       ",73,"$258,317.00",Not
"Sherlene Wetherington                             ",63,"$218,910.00",Not
"Ayesha Monica                                     ",86,"$217,147.00",Not
"Babette Soukup                                    ",60,"$215,905.00",Not
"Carletta Kosinski                                 ",61,"$213,032.00",Not
"Soraya Fulton                                     ",54,"$210,436.00",Not
"Chau Rowles                                       ",63,"$184,283.00",Not
"Cara Clarke                                       ",54,"$166,139.00",Not
"Akilah Drinkard                                   ",66,"$136,614.00",Not
"Kathleen Lalonde                                  ",35,"$116,308.00",Not
"Elba Felder                                       ",62,"$114,977.00",Not
"Earlie Schleusner                                 ",335,"$1,098,138.00",Top
"Tia Amato                                         ",267,"$1,010,691.00",Top
