"Tamara Tuma                                       ",2015-10-06 17:13:58.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-06-30 12:09:45.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-07-30 03:06:26.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-08-28 06:42:42.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-09-26 23:14:59.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-10-26 20:21:09.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-11-25 22:52:29.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-12-24 05:35:14.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2015-11-05 03:08:26.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2015-12-04 03:57:24.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-01-02 00:55:03.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2015-10-06 04:22:11.0000000,"facebook                                          ","Walmart                                           "
"Tamara Tuma                                       ",2015-10-22 05:02:47.0000000,"organic                                           ","Walmart                                           "
"Tamara Tuma                                       ",2015-10-22 14:04:20.0000000,"adwords                                           ","Walmart                                           "
"Tamara Tuma                                       ",2015-11-05 17:18:54.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2015-12-11 08:44:16.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-01-01 15:45:54.0000000,"adwords                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-01-13 19:31:14.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-02-07 17:44:10.0000000,"adwords                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-02-27 15:27:22.0000000,"organic                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-03-17 19:54:58.0000000,"twitter                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-04-05 03:02:52.0000000,"organic                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-04-17 16:41:02.0000000,"organic                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-05-01 14:26:40.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-05-07 02:28:31.0000000,"banner                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-05-21 16:22:01.0000000,"organic                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-06-02 04:41:31.0000000,"facebook                                          ","Walmart                                           "
"Tamara Tuma                                       ",2016-06-22 13:48:53.0000000,"adwords                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-07-12 22:43:02.0000000,"banner                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-07-26 11:29:09.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-07-26 21:08:52.0000000,"banner                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-08-12 09:31:22.0000000,"organic                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-09-01 18:33:56.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-09-11 17:06:53.0000000,"adwords                                           ","Walmart                                           "
"Tamara Tuma                                       ",2016-02-01 19:02:33.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-03-02 15:15:22.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-04-01 10:58:55.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-05-01 15:26:44.0000000,"direct                                            ","Walmart                                           "
"Tamara Tuma                                       ",2016-05-31 20:53:47.0000000,"direct                                            ","Walmart                                           "
